product_category,product_description
Cebolla,Breadfruit
House,Tea - Lemon Green Tea
Kitchen,"Trout - Hot Smkd, Dbl Fillet"
Speed,Beef - Texas Style Burger
Superpower,Cheese - Cottage Cheese
Galactic,Wine - Maipo Valle Cabernet
Phenomeno,Pop Shoppe Cream Soda
Totalitarian,Quail - Jumbo
Pizzapasta,Pail With Metal Handle 16l White
Venezuela,Monkfish Fresh - Skin Off
Cantonito,"Pasta - Orzo, Dry"
Lol,Truffle - Peelings
Pretrucious,Lemons
Pulis,Sprouts - Pea
Banned,"Pail - 15l White, With Handle"
Not Banned,Bulgar
Gas,Salmon Steak - Cohoe 6 Oz
Granon,Island Oasis - Wildberry
Carniceria,Pie Pecan
Pimienta,Shark - Loin
Cebolla,Glucose
House,Bread - Pita
Kitchen,Venison - Liver
Speed,Lettuce - Red Oak Leaf
Superpower,Towel - Roll White
Galactic,Uniform Linen Charge
Phenomeno,Tea - Lemon Green Tea
Totalitarian,"Beef - Baby, Liver"
Pizzapasta,Table Cloth - 53x69 Colour
Venezuela,Sesame Seed Black
Cantonito,Cookies - Fortune
Lol,Wine - Cousino Macul Antiguas
Pretrucious,"Beef - Outside, Round"
Pulis,Wine - Chardonnay Mondavi
Banned,Kellogs Special K Cereal
Not Banned,"Soup - Campbells, Chix Gumbo"
Gas,Campari
Granon,Beer - Sleemans Cream Ale
Carniceria,Spring Roll Veg Mini
Pimienta,Cumin - Whole
Cebolla,"Juice - V8, Tomato"
House,Cheese - Gouda Smoked
Kitchen,Calypso - Black Cherry Lemonade
Speed,Wine - Taylors Reserve
Superpower,Absolut Citron
Galactic,Cafe Royale
Phenomeno,"Yeast - Fresh, Fleischman"
Totalitarian,Squeeze Bottle
Pizzapasta,Gelatine Leaves - Bulk
Venezuela,Pants Custom Dry Clean
Cantonito,Squash - Guords
Lol,"Olives - Green, Pitted"
Pretrucious,Appetizer - Lobster Phyllo Roll
Pulis,Pepper - Red Thai
Banned,Apricots - Halves
Not Banned,"Tomatoes - Vine Ripe, Yellow"
Gas,Pork - Ham Hocks - Smoked
Granon,Spring Roll Wrappers
Carniceria,Coffee - Dark Roast
Pimienta,Milk - Buttermilk
Cebolla,Appetizer - Mango Chevre
House,Cleaner - Pine Sol
Kitchen,Sandwich Wrap
Speed,Aspic - Amber
Superpower,Cod - Fillets
Galactic,Melon - Watermelon Yellow
Phenomeno,Energy Drink
Totalitarian,French Pastry - Mini Chocolate
Pizzapasta,Foil Cont Round
Venezuela,Yoplait - Strawbrasp Peac
Cantonito,Sauce - Fish 25 Ozf Bottle
Lol,Veal - Osso Bucco
Pretrucious,Beer - Sleeman Fine Porter
Pulis,Cucumber - English
Banned,"Mushroom - Shitake, Fresh"
Not Banned,Rosemary - Fresh
Gas,"Salmon - Atlantic, Skin On"
Granon,Rice - Jasmine Sented
Carniceria,Ice Cream Bar - Rolo Cone
Pimienta,Calypso - Strawberry Lemonade
Cebolla,"Fish - Atlantic Salmon, Cold"
House,Sobe - Berry Energy
Kitchen,Table Cloth 62x120 Colour
Speed,"Wine - Red, Wolf Blass, Yellow"
Superpower,Wheat - Soft Kernal Of Wheat
Galactic,Chicken - Ground
Phenomeno,"Extract - Vanilla,artificial"
Totalitarian,"Juice - V8, Tomato"
Pizzapasta,"Sauce - White, Mix"
Venezuela,Lamb - Shoulder
Cantonito,Sponge Cake Mix - Vanilla
Lol,"Crush - Grape, 355 Ml"
Pretrucious,"Lemonade - Mandarin, 591 Ml"
Pulis,"Liners - Banana, Paper"
Banned,Buffalo - Striploin
Not Banned,Wiberg Super Cure
Gas,Apricots - Halves
Granon,Capicola - Hot
Carniceria,Chips - Potato Jalapeno
Pimienta,Crackers Cheez It
Cebolla,Rice - Aborio
House,Sun - Dried Tomatoes
Kitchen,Juice - Ocean Spray Kiwi
Speed,"Beans - Kidney, Canned"
Superpower,Table Cloth 120 Round White
Galactic,Mousse - Banana Chocolate
Phenomeno,Cookie Choc
Totalitarian,Bagels Poppyseed
Pizzapasta,Cheese - Goat With Herbs
Venezuela,Cocoa Powder - Natural
Cantonito,Wine - Domaine Boyar Royal
Lol,Sauce - Thousand Island
Pretrucious,Extract - Raspberry
Pulis,Vaccum Bag - 14x20
Banned,Halibut - Fletches
Not Banned,Creme De Banane - Marie
Gas,Coffee - French Vanilla Frothy
Granon,Broom - Push
Carniceria,Towel Multifold
Pimienta,Pie Box - Cello Window 2.5
Cebolla,Wine - Zinfandel California 2002
House,Tea - Herbal I Love Lemon
Kitchen,Ice Cream Bar - Drumstick
Speed,Beans - Wax
Superpower,Ham - Black Forest
Galactic,"Pepper - Black, Crushed"
Phenomeno,Soup - French Onion
Totalitarian,Veal - Inside
Pizzapasta,Cabbage - Savoy
Venezuela,Carbonated Water - Blackcherry
Cantonito,"Melon - Watermelon, Seedless"
Lol,Hagen Daza - Dk Choocolate
Pretrucious,Peach - Halves
Pulis,Cake - Chocolate Raspberry 9
Banned,Bread - Raisin
Not Banned,Wine - Periguita Fonseca
Gas,Lamb Leg - Bone - In Nz
Granon,Fiddlehead - Frozen
Carniceria,Wine - Alicanca Vinho Verde
Pimienta,Milk - Chocolate 500ml
Cebolla,True - Vue Containers
House,Potatoes - Mini White 3 Oz
Kitchen,Smoked Paprika
Speed,Flour - Fast / Rapid
Superpower,Pepper - Green Thai
Galactic,Salad Dressing
Phenomeno,Oil - Sunflower
Totalitarian,Filo Dough
Pizzapasta,Bacardi Breezer - Strawberry
Venezuela,"Olives - Green, Pitted"
Cantonito,"Stock - Chicken, White"
Lol,"Pork - Back, Long Cut, Boneless"
Pretrucious,Ice Cream Bar - Oreo Sandwich
Pulis,Salmon - Canned
Banned,Bread Base - Toscano
Not Banned,"Soup - Knorr, Chicken Gumbo"
Gas,Bar - Granola Trail Mix Fruit Nut
Granon,Cheese - Bocconcini
Carniceria,Chocolate Eclairs
Pimienta,"Pasta - Fettuccine, Dry"
Cebolla,"Lamb - Leg, Bone In"
House,Sauce - Hollandaise
Kitchen,"Ham - Smoked, Bone - In"
Speed,Chips Potato Reg 43g
Superpower,Wine - Riesling Dr. Pauly
Galactic,V8 - Vegetable Cocktail
Phenomeno,Fondant - Icing
Totalitarian,Container - Clear 16 Oz
Pizzapasta,Savory
Venezuela,Tea - Honey Green Tea
Cantonito,Ice Cream Bar - Oreo Cone
Lol,Ham - Cooked Bayonne Tinned
Pretrucious,Kiwi
Pulis,Chocolate - Milk
Banned,Basil - Thai
Not Banned,Flower - Daisies
Gas,Walkers Special Old Whiskey
Granon,Quinoa
Carniceria,Juice - Lemon
Pimienta,Rootbeer
Cebolla,"Soup - Beef, Base Mix"
House,Wine - Champagne Brut Veuve
Kitchen,"Juice - Clam, 46 Oz"
Speed,Pizza Pizza Dough
Superpower,"Pasta - Fettuccine, Egg, Fresh"
Galactic,Bread - Pumpernickel
Phenomeno,Rice - Jasmine Sented
Totalitarian,Jagermeister
Pizzapasta,Chips - Assorted
Venezuela,Salami - Genova
Cantonito,Rum - Mount Gay Eclipes
Lol,"Wine - Saint - Bris 2002, Sauv"
Pretrucious,"Lamb - Shoulder, Boneless"
Pulis,"Tortillas - Flour, 12"
Banned,"Pasta - Rotini, Dry"
Not Banned,"Beef - Bones, Marrow"
Gas,Water - Evian 355 Ml
Granon,Chocolate Bar - Reese Pieces
Carniceria,Tea - Decaf 1 Cup
Pimienta,"Wine - Cahors Ac 2000, Clos"
Cebolla,"Bread - Roll, Calabrese"
House,"Wine - Mas Chicet Rose, Vintage"
Kitchen,"Appetizer - Mini Egg Roll, Shrimp"
Speed,Sprouts - Corn
Superpower,Pomegranates
Galactic,Coffee Beans - Chocolate
Phenomeno,"Cheese - Romano, Grated"
Totalitarian,Lettuce - Romaine
Pizzapasta,Wine - Chenin Blanc K.w.v.
Venezuela,Guava
Cantonito,Apples - Spartan
Lol,Pork - Side Ribs
Pretrucious,Parsley - Dried
Pulis,"Wine - White, Cooking"
Banned,Salmon - Fillets
Not Banned,Miso - Soy Bean Paste
Gas,Wine - Piper Heidsieck Brut
Granon,Hog / Sausage Casing - Pork
Carniceria,Spic And Span All Purpose
Pimienta,"Turkey - Breast, Double"
Cebolla,Energy Drink Red Bull
House,Arizona - Green Tea
Kitchen,Tomatoes - Yellow Hot House
Speed,Sauce - Oyster
Superpower,Bread Ww Cluster
Galactic,Beef - Prime Rib Aaa
Phenomeno,Sugar - Cubes
Totalitarian,Piping - Bags Quizna
Pizzapasta,Potatoes - Yukon Gold 5 Oz
Venezuela,The Pop Shoppe - Lime Rickey
Cantonito,Horseradish Root
Lol,Cookie - Oreo 100x2
Pretrucious,Veal - Liver
Pulis,Bar - Sweet And Salty Chocolate
Banned,"Kohlrabi - Giant, Organic"
Not Banned,Bread - Corn Bread
Gas,Lid Coffee Cup 8oz Blk
Granon,Cheese - Mozzarella
Carniceria,Onions - Red
Pimienta,Isomalt
Cebolla,Seabream Whole Farmed
